"y","ave_degree","transitivity","motif_3_1","motif_3_2","motif_4_1","motif_4_2","motif_4_3","motif_4_4","motif_4_5","motif_4_6","density","community_id","week","next_y","next_ave_degree","next_transitivity","next_motif_3_1","next_motif_3_2","next_motif_4_1","next_motif_4_2","next_motif_4_3","next_motif_4_4","next_motif_4_5","next_motif_4_6","next_density","next_community_id"
2,2,0,0,0,0,0,0,0,0,0,2,4,8,7,5.14285714285714,0.571428571428571,9,4,0,3,9,0,0,1,0.857142857142857,1
2,2,0,0,0,0,0,0,0,0,0,2,4,8,6,4.66666666666667,0.428571428571429,8,2,4,0,6,0,0,0,0.933333333333333,3
2,2,0,0,0,0,0,0,0,0,0,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5.14285714285714,0.571428571428571,9,4,0,3,9,0,0,1,0.857142857142857,1,9,10,4.8,0.25,27,3,38,6,19,0,0,0,0.533333333333333,1
7,4.57142857142857,0.315789473684211,13,2,12,0,8,0,0,0,0.761904761904762,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.66666666666667,0.428571428571429,8,2,4,0,6,0,0,0,0.933333333333333,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4.8,0.25,27,3,38,6,19,0,0,0,0.533333333333333,1,10,13,5.84615384615385,0.402439024390244,49,11,110,10,51,0,0,5,0.487179487179487,1
8,14,1,0,56,0,0,0,0,0,70,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,0.6,12,6,0,4,18,0,0,1,0.857142857142857,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,5,10,11,4,0.111111111111111,24,1,30,17,6,0,0,0,0.4,2
2,2,0,0,0,0,0,0,0,0,0,2,5,10,4,3,0,2,0,0,1,0,0,0,0,1,4
2,2,0,0,0,0,0,0,0,0,0,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5.84615384615385,0.402439024390244,49,11,110,10,51,0,0,5,0.487179487179487,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,0.111111111111111,24,1,30,17,6,0,0,0,0.4,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9.14285714285714,0.923076923076923,5,20,0,0,10,0,0,15,1.52380952380952,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,2,0,0,1,0,0,0,0,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,10,11,2,2,0,0,0,0,0,0,0,0,0,2,12
10,5.6,0.486486486486487,19,6,12,12,17,0,0,1,0.622222222222222,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0.375,5,1,2,0,2,0,0,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0.5,3,1,0,2,1,0,0,0,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0.6,2,1,0,0,1,0,0,0,1.33333333333333,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,8,12,2,2,0,0,0,0,0,0,0,0,0,2,4
2,2,0,0,0,0,0,0,0,0,0,2,9,12,8,11,0.945945945945946,6,35,0,0,15,0,0,35,1.57142857142857,1
2,2,0,0,0,0,0,0,0,0,0,2,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,0.945945945945946,6,35,0,0,15,0,0,35,1.57142857142857,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,2,13,5,3.2,0,4,0,1,2,0,0,0,0,0.8,3
3,2.66666666666667,0,1,0,0,0,0,0,0,0,1.33333333333333,3,13,12,6,0.523809523809524,30,11,24,16,38,0,0,5,0.545454545454545,1
2,2,0,0,0,0,0,0,0,0,0,2,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,0.523809523809524,30,11,24,16,38,0,0,5,0.545454545454545,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0.737704918032787,32,30,12,0,76,0,12,20,1.11111111111111,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3.2,0,4,0,1,2,0,0,0,0,0.8,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,3,0,1,0,0,0,0,0,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,5,14,7,12,1,0,35,0,0,0,0,0,35,2,3
3,4,1,0,1,0,0,0,0,0,0,2,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,8,14,2,2,0,0,0,0,0,0,0,0,0,2,5
2,2,0,0,0,0,0,0,0,0,0,2,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0
12,22,1,0,220,0,0,0,0,0,495,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5.77777777777778,0.5625,14,6,4,9,15,0,0,1,0.722222222222222,2,15,11,13.8181818181818,0.940298507462687,16,84,0,1,56,0,0,126,1.38181818181818,2
7,12,1,0,35,0,0,0,0,0,35,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,6,15,12,13,0.909747292418773,25,84,8,2,84,0,0,126,1.18181818181818,1
12,13,0.909747292418773,25,84,8,2,84,0,0,126,1.18181818181818,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0
11,13.8181818181818,0.940298507462687,16,84,0,1,56,0,0,126,1.38181818181818,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4.8,0.333333333333333,18,3,9,16,10,0,1,0,0.533333333333333,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,1,0,10,0,0,0,0,0,5,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,1,0,4,0,0,0,0,0,1,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,3,0,1,0,0,0,0,0,1,3,17,16,7,0.428571428571429,92,23,240,10,133,0,8,15,0.466666666666667,1
4,4,0.6,2,1,0,0,1,0,0,0,1.33333333333333,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,5,17,16,7,0.428571428571429,92,23,240,10,133,0,8,15,0.466666666666667,1
2,2,0,0,0,0,0,0,0,0,0,2,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,8,17,9,6.66666666666667,0.66,17,11,4,4,28,0,0,5,0.833333333333333,2
2,2,0,0,0,0,0,0,0,0,0,2,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7,0.428571428571429,92,23,240,10,133,0,8,15,0.466666666666667,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6.66666666666667,0.66,17,11,4,4,28,0,0,5,0.833333333333333,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,0.945945945945946,6,35,0,0,15,0,0,35,1.57142857142857,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,1,0,4,0,0,0,0,0,1,2,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,5,18,8,4.5,0.315789473684211,13,2,7,6,7,0,0,0,0.642857142857143,2
2,2,0,0,0,0,0,0,0,0,0,2,6,18,8,4.5,0.315789473684211,13,2,7,6,7,0,0,0,0.642857142857143,2
8,7,0.767441860465116,10,11,0,4,17,0,0,5,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4.5,0.315789473684211,13,2,7,6,7,0,0,0,0.642857142857143,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.33333333333333,0.882352941176471,4,10,0,0,6,0,0,5,1.46666666666667,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,1,0,10,0,0,0,0,0,5,2,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0.375,5,1,2,0,2,0,0,0,1,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,0,1,0,0,0,0,0,0,2,6,19,7,9.14285714285714,0.923076923076923,5,20,0,0,10,0,0,15,1.52380952380952,1
3,4,1,0,1,0,0,0,0,0,0,2,7,19,7,9.14285714285714,0.923076923076923,5,20,0,0,10,0,0,15,1.52380952380952,1
2,2,0,0,0,0,0,0,0,0,0,2,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,2,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9.14285714285714,0.923076923076923,5,20,0,0,10,0,0,15,1.52380952380952,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,0.230769230769231,10,1,4,4,4,0,0,0,0.666666666666667,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0
