id,conversation_id,date,user_id,username,mentions,hashtags
1390572568529326080,1390572568529326080,2021-05-07,23140070,razorsandvines,[],"['doge', 'dogecoin', 'dogearmy']"
1390571737906036736,1390571737906036736,2021-05-07,23140070,razorsandvines,[],"['doge', 'dogecoin', 'dogearmy']"
1390571485413191684,1390571485413191684,2021-05-07,23140070,razorsandvines,[],"['doge', 'dogecoin', 'dogearmy']"
1390568688755953669,1390566167673286656,2021-05-07,1386470952435798018,jatin9169,[],[]
1390568429493506050,1390567612996804612,2021-05-07,1386470952435798018,jatin9169,[],[]
1390557495685353472,1390557495685353472,2021-05-07,226388674,patricktepou,"[{'screen_name': 'nichpointon', 'name': 'nicholas pointon', 'id': '521051934'}]",[]
1390548114801455105,1390548114801455105,2021-05-07,2251546880,stuflemingnz,[],[]
1390547098496602112,1390547098496602112,2021-05-07,117497219,mlleroulleau,[],[]
1390541957852635146,1390541957852635146,2021-05-07,172262369,lewsos,[],[]
1390539860029497344,1390539860029497344,2021-05-07,322706298,bumoro95,[],"['dogefam', 'dogearmy', 'dogecoin', 'btt']"
1390532319459430400,1390522866979033092,2021-05-07,1320891108449112064,djalznz,[],[]
1390525692211699712,1390517655426248705,2021-05-07,1284957961664618497,johnathanhargr1,[],[]
1390524251300515840,1390524057980850182,2021-05-07,30325257,thecryptolark,[],['dogecoin']
1390514743606071297,1390514743606071297,2021-05-07,92106980,jimisambard,"[{'screen_name': 'nzinitiative', 'name': 'the nz initiative', 'id': '519143092'}]",[]
1390487045416656900,1390487045416656900,2021-05-07,338005792,officialmikeyh,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[]
1390452866469416961,1390445915530579968,2021-05-07,288669119,rapragasa,[],"['btc', 'dogecoin', 'vra', 'tel', 'eth', 'defi', 'eth', 'dot', 'ubx', 'bnb', 'bitcoincash', 'safemoon']"
1390424759473635331,1390424583778578437,2021-05-07,1386470952435798018,jatin9169,[],[]
1390414777848143875,1390414777848143875,2021-05-07,234333259,sandrapearsall,[],[]
1390398984171237384,1390398984171237384,2021-05-07,543433472,jaspreet793,[],"['safemoon', 'safemoonarmy', 'dogecoin']"
1390396543576854528,1390396543576854528,2021-05-07,23140070,razorsandvines,[],"['doge', 'dogearmy', 'dogecoin']"
1390390079361671168,1390360647012163596,2021-05-07,1125332665,lepodd,[],[]
1390368736004169731,1390368736004169731,2021-05-07,172128335,diegdez,[],"['bitclout', 'bitcloutverifyme', 'doge', 'dogecoins', 'dogecoin', 'spacex', 'elonmusk', 'dogecointothemoon']"
1390350261579915266,1390350261579915266,2021-05-07,7014362,mdavidallen,[],[]
1390303074300821506,1388611645560262660,2021-05-07,1213636364702343169,funkosponge,[],[]
1390298172279296011,1390298172279296011,2021-05-07,2921247446,navdeepbrar1988,[],"['dogecoin', 'doge']"
1390293261655306247,1390293261655306247,2021-05-07,95377193,morondozanthony,[],['dogecoin']
1390285542240096256,1390285542240096256,2021-05-07,3301155978,zdnyfrhn_,"[{'screen_name': 'dogecoin', 'name': 'dogecoin', 'id': '2235729541'}]",[]
1390277033519771648,1390249479811391490,2021-05-07,1362207806393225219,malignant_cindy,[],[]
1390275306955673602,1390274818394759170,2021-05-07,722805549243346945,burnyourships09,[],[]
1390253283122421761,1390253283122421761,2021-05-06,1483912172,ajthompson13,[],[]
1390246485695082496,1390246485695082496,2021-05-06,722805549243346945,burnyourships09,"[{'screen_name': 'krypto_kyle', 'name': 'krypto kyle ✌🏼', 'id': '1293039780104724482'}]","['dogecoinarmy', 'dogecoinrise', 'dogecoin']"
1390239927095468032,1389976249234300937,2021-05-06,56197726,jurrien1,[],[]
1390212011116548096,1390212011116548096,2021-05-06,1389891015952068611,fergussonshaun,"[{'screen_name': 'itsdogecoin', 'name': 'dogecoin movement 🚀', 'id': '83202218'}]","['dogecoinrise', 'dogecoins', 'memecoin']"
1390202470995881986,1389816040452988929,2021-05-06,3099442099,phoruh,[],[]
1390199940836511746,1390199940836511746,2021-05-06,1375651697339494401,cryptokiwi9,[],"['doge', 'dogecoin', 'dogecointothemoon', 'dogetoken', 'usa', 'uk', 'india', 'nigeria', 'europe', 'canada', 'mexico', 'brazil', 'philippines', 'thailand', 'china', 'malaysia', 'africa', 'japan', 'australia', 'pakistan']"
1390176009165672449,1390176009165672449,2021-05-06,234333259,sandrapearsall,"[{'screen_name': 'snoopdogg', 'name': 'snoop dogg', 'id': '3004231'}, {'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}, {'screen_name': 'mcuban', 'name': 'mark cuban', 'id': '16228398'}]",['doge']
1390175549897596930,1390167871439839232,2021-05-06,1381059494424113155,pacificroaming,[],[]
1390166821102292993,1390073153347592192,2021-05-06,234333259,sandrapearsall,[],[]
1390151662061297665,1390151662061297665,2021-05-06,922225494501638144,beanvein,[],[]
1390139255133859842,1390139255133859842,2021-05-06,338005792,officialmikeyh,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[]
1390130995316158468,1390130995316158468,2021-05-06,1113815767,katenedurie_do,[],['dogecoin']
1390121663602171906,1390118055502663683,2021-05-06,1157860860993265665,count_truculent,[],[]
1390115977417805827,1390115977417805827,2021-05-06,30325257,thecryptolark,[],['dogecoin']
1390103574353305605,1390038230616002561,2021-05-06,1147661495280390144,cerberu21014829,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",['dogecoin']
1390096249764810752,1390088183921012737,2021-05-06,73884562,ibnusitompul,[],[]
1390094792856510466,1390094792856510466,2021-05-06,734063283561467905,ezytv_,[],[]
1390090298211012611,1390076229714280448,2021-05-06,15001406,connan_james,[],[]
1390088605373112320,1390088605373112320,2021-05-06,1514374573,gyeardley,"[{'screen_name': 'dogecoin', 'name': 'dogecoin', 'id': '2235729541'}, {'screen_name': 'dogecoin_devs', 'name': 'dogecoin developers', 'id': '2445883045'}, {'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}, {'screen_name': 'chairwomandoge', 'name': 'dogecoin chairwoman', 'id': '1382209054999646212'}, {'screen_name': 'dailydogeupdate', 'name': 'dogecoin', 'id': '1209726003897126912'}]","['doge', 'dogecoins', 'dogecoinarmy', 'dogearmy', 'dogefam', 'dogecointothemoon']"
1390087025458515970,1389881161699168256,2021-05-06,1514374573,gyeardley,[],"['doge', 'dogecoin', 'dogearmy', 'dogecointothemoon', 'dogecoinrise']"
1390086701884784640,1390086701884784640,2021-05-06,172128335,diegdez,[],"['doge', 'dogecoin', 'dogecoins', 'dogecoinrise', 'dogearmy', 'dogecointothemoon']"
1390083703561359365,1390083703561359365,2021-05-06,958258241099653120,jacob_p_gould,[],[]
1390074738106580996,1390071200412487683,2021-05-06,27693149,jamisaaa,[],[]
1390072044105048064,1390072044105048064,2021-05-06,1017132871381708800,hadezyt,[],[]
1390071097798791169,1390006560370290689,2021-05-06,162332929,kiwicyclo,[],"['holdfirm', 'dontsell', 'dogecoin']"
1390026830988578818,1390018295521185793,2021-05-06,1349129571522777088,youwannadanc3,[],[]
1390022599426641922,1390022599426641922,2021-05-06,543433472,jaspreet793,[],"['safemoon', 'safemoonarmy', 'doge', 'dogecoin']"
1390009954858266628,1390009954858266628,2021-05-06,3048467972,gurwinderlehal,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}, {'screen_name': 'dogecoin', 'name': 'dogecoin', 'id': '2235729541'}, {'screen_name': 'tronfoundation', 'name': 'tron foundation', 'id': '894231710065446912'}, {'screen_name': 'binance', 'name': 'binance', 'id': '877807935493033984'}, {'screen_name': 'pushpendrakum', 'name': 'pushpendra singh', 'id': '138073453'}]",[]
1389996301627138048,1389996301627138048,2021-05-06,1295888033112305664,bizzygainz,[],"['dogecoin', 'robinhood', 'cryptocurrency']"
1389973382305812482,1389973382305812482,2021-05-06,817385663569989632,rvareid,[],[]
1389963734475550720,1389963734475550720,2021-05-06,247379422,mr_hoova,[],[]
1389939761566167040,1389763219514789889,2021-05-06,722805549243346945,burnyourships09,[],['dogevibe']
1389931855550496768,1389931855550496768,2021-05-06,722805549243346945,burnyourships09,[],"['dogecoinarmy', 'dogecoinrise', 'dogecointothemoon', 'dogecoin']"
